rial_reward,dqn_reward,collisions,distance,winner,rial_smooth,dqn_smooth
-69.89780960151734,-139.79561920303468,1.0,1.6246887,rial,-49.50326958959359,-98.89987251252052
-39.48076900303875,-78.9615380060775,0.0,2.3853042,rial,-49.40866799680206,-98.72400266027078
-45.254516619444374,-90.50903323888872,0.0,1.9451783,rial,-49.300779302591664,-98.50822527185
-30.88792946734063,-60.27585893468125,0.0,2.056971,rial,-49.26680267947051,-98.40693869227434
-63.64157538820196,-126.78315077640393,0.0,2.7928846,rial,-49.52228809830739,-98.91124286328146
-48.35530644730012,-96.71061289460026,2.0,2.256148,rial,-49.471728397890914,-98.81012346244849
-53.73455231518714,-107.46910463037423,0.0,1.5143847,rial,-49.45066450422905,-98.76799567512477
-36.42616821124641,-72.85233642249285,7.0,1.5187935,rial,-48.94305630387981,-97.75277927442629
-56.80141772791683,-113.60283545583368,0.0,2.0743003,rial,-48.85532484102446,-97.60398301538225
-38.92748623843671,-76.35497247687341,0.0,2.5331728,rial,-48.4726174789684,-96.81856829127015
-51.270395563308554,-102.54079112661712,0.0,2.3934786,rial,-48.31100008127631,-96.49533349588596
-56.854886525758765,-113.7097730515175,0.0,2.5134923,rial,-48.539769318717774,-96.95287197076888
-41.75073164009005,-83.0014632801801,0.0,2.284412,rial,-48.64890899672995,-97.16448466012658
-41.76912421392228,-83.5382484278446,0.0,2.1278334,rial,-48.63505875218112,-97.1367841710289
-60.904388128664294,-120.30877625732859,0.0,2.6245513,rial,-48.866043595061385,-97.57875385678942
-48.49740955167452,-99.99481910334904,1.0,1.8821976,rial,-49.05076512873618,-98.00819692413903
-46.43469064817007,-94.86938129634015,1.0,2.5997198,rial,-49.073496738093134,-98.0803268095196
-51.11776750017589,-102.23553500035177,0.0,2.215605,rial,-48.873048030797094,-97.67942939492751
-62.33941108087605,-123.1788221617521,0.0,2.934844,rial,-49.303196624758016,-98.51972658284934
-52.975236786662585,-105.95047357332518,0.0,2.534476,rial,-49.4066186176047,-98.73990390187606
-48.258410077911435,-96.51682015582281,6.0,1.7400377,rial,-49.46418562240152,-98.85503791146971
-30.20534609650917,-60.410692193018335,1.0,2.1882863,rial,-49.45574401308215,-98.83815469283098
-43.110986926520596,-86.2219738530412,0.0,1.9981253,rial,-49.500801191208346,-98.92826904908334
-60.0812083210709,-122.6624166421418,1.0,2.0038297,rial,-49.63109736715604,-99.22219473431207
-66.72312133740964,-133.4462426748193,0.0,1.9044386,rial,-50.05841576788153,-100.10349820242973
-34.45582496757395,-67.4116499351479,0.0,1.8924114,rial,-49.957168952372456,-99.88100457141157
-76.81596446126042,-153.1319289225208,8.0,1.7243575,rial,-50.21877492225045,-100.3975498445009
-46.21521430399307,-91.4304286079861,0.0,2.3828855,rial,-50.2958150925736,-100.53829685181385
-64.06174607314983,-127.62349214629967,2.0,2.4246874,rial,-50.486989277924785,-100.92064522251624
-61.28433892730318,-122.06867785460634,0.0,3.0231287,rial,-50.60884440626902,-101.15768881253804
-50.59693521362946,-101.19387042725896,0.0,2.3744693,rial,-50.92278642883174,-101.7855728576635
-74.07037647635227,-147.64075295270447,0.0,3.0021527,rial,-51.29825221467605,-102.54317109601877
-34.89642111349069,-72.7928422269814,2.0,1.7488767,rial,-51.15765392996288,-102.30197452659242
-42.80505720331017,-87.61011440662035,0.0,2.5765283,rial,-51.250372570669015,-102.48074514133802
-49.35669939708704,-98.71339879417408,2.0,1.5354654,rial,-51.117127113188396,-102.2142542263768
-61.47271853631517,-122.94543707263036,5.0,1.8850232,rial,-50.938851453039284,-101.85770290607857
-33.20305462975004,-66.4061092595001,0.0,1.6075952,rial,-50.80322667326196,-101.58645334652391
-61.220692561537014,-121.44138512307407,1.0,1.740272,rial,-51.02110907720642,-102.0088848210795
-48.99890248341092,-96.49780496682186,2.0,1.6914334,rial,-51.17783352939717,-102.29566705879434
-59.395773324583125,-118.79154664916624,18.0,1.5947267,rial,-50.88549754548109,-101.71099509096217
-52.76515282739103,-104.53030565478208,1.0,2.1608758,rial,-50.86684516108097,-101.6603569888286
-45.34807944207765,-90.69615888415532,0.0,2.2237453,rial,-50.786650981729565,-101.52663529679246
-64.84772625194796,-129.6954525038959,3.0,2.1257212,rial,-51.15534388822758,-102.26402110978847
-76.12302500019857,-150.74605000039716,3.0,1.645759,rial,-51.245560767487945,-102.42445486830923
-45.30880715272572,-90.11761430545144,0.0,1.6787709,rial,-51.30253591935743,-102.53173850538154
-54.624453236058145,-109.24890647211632,0.0,1.5284747,rial,-51.186089312465754,-102.29884529159818
-44.52700938636888,-89.05401877273775,1.0,2.1477544,rial,-51.18077655616469,-102.29488644566271
-61.570398749857766,-123.14079749971549,9.0,1.4892215,rial,-51.43230602837299,-102.80461205674598
-40.2041569972115,-83.40831399442297,7.0,1.9341011,rial,-51.30446596627213,-102.58893193254427
-47.129959324871685,-95.25991864974337,0.0,2.5443487,rial,-51.19053941748129,-102.38107883496258
-62.22888735627321,-124.45777471254647,2.0,1.8157074,rial,-51.34988300434917,-102.73309934203166
-45.895857366817204,-93.7917147336344,6.0,2.1572225,rial,-50.94139332790388,-101.94278665580777
-27.3667883783509,-57.23357675670181,0.0,2.0392041,rial,-50.85470025231033,-101.80273383795398
-42.9339823490784,-87.86796469815683,1.0,2.3248956,rial,-50.92527459646582,-101.9572158595983
-32.483536287740186,-63.96707257548037,5.0,1.5101488,rial,-50.70515744673323,-101.5036482267998
-47.11498133551021,-94.22996267102039,4.0,1.9217509,rial,-50.66628371132579,-101.45256742265158
-39.467665909141445,-80.93533181828286,2.0,1.9974313,rial,-50.709927953080694,-101.58652257282806
-43.117233978605604,-86.23446795721117,0.0,1.9722061,rial,-50.48361850467262,-101.13390367601191
-42.8515766130425,-85.70315322608498,0.0,2.385616,rial,-50.46144937503336,-101.06289875006672
-59.732750062476086,-119.46550012495217,8.0,1.9844891,rial,-50.46701606167364,-101.02069879001395
-53.82507743213636,-107.65015486427271,0.0,2.2451317,rial,-50.566665098569096,-101.21999686380485
-33.17214035872211,-69.3442807174442,0.0,1.9201628,rial,-50.166556165380285,-100.47977899742723
-32.32917624552344,-63.15835249104688,0.0,1.7015613,rial,-50.028192053166066,-100.15638410633213
-45.05418475328724,-90.10836950657449,0.0,2.1315608,rial,-50.01172505013816,-100.12345010027633
-49.21761451035627,-98.43522902071257,0.0,2.100503,rial,-50.082163878175244,-100.27099442301716
-34.01933557641881,-71.03867115283765,0.0,2.309399,rial,-49.897007878089944,-99.94068242284656
-69.20035465733334,-138.4007093146667,0.0,2.077577,rial,-50.31857250425019,-100.80381167516705
-43.778583790427255,-87.55716758085453,9.0,2.1137152,rial,-50.31759124252451,-100.82851581838236
-37.25207540712389,-74.50415081424781,0.0,2.4178529,rial,-50.074583506882,-100.36250034709732
-49.59796153509359,-99.19592307018719,0.0,1.5914338,rial,-49.870220848383916,-99.95377503010117
-39.188838985997904,-78.37767797199582,0.0,2.4856641,rial,-49.63238199691511,-99.47809732716355
-37.06238627097133,-74.12477254194266,0.0,2.3085716,rial,-49.52566453781661,-99.23799574229989
